entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
2000-04-24,2000-05-24,70.518331,63.008086,141807,-1065005,-0.1065,0.03,3,30
2000-06-07,2000-09-22,77.385265,73.614408,115461,-435387,-0.0487,0.03,3,107
2003-03-19,2004-07-27,22.692623,28.73449,374553,2262999,0.2662,0.03,3,496
2004-11-03,2006-06-08,31.925819,32.602787,337112,228214,0.0212,0.03,3,582
2006-10-10,2008-01-17,35.697472,39.607392,307887,1203814,0.1095,0.03,3,464
2009-06-01,2010-07-01,30.977337,37.21406,393663,2455167,0.2013,0.03,3,395
2010-09-17,2011-08-09,42.168199,44.963398,347413,971088,0.0663,0.03,3,326
