Date,Open,High,Low,Close,ma_100
1999-03-10,43.079741,43.106074,42.368768,43.027077,
1999-03-11,43.343042,43.5932,42.395078,43.237713,
1999-03-12,43.079737,43.106069,41.842116,42.184437,
1999-03-15,42.500414,43.448379,42.052764,43.395714,
1999-03-16,43.580047,43.9487,43.106065,43.764374,
1999-03-17,43.76436,43.817025,43.31671,43.448372,
1999-03-18,43.395712,44.317344,43.382546,44.291012,
1999-03-19,44.870333,44.870333,43.132397,43.15873,
1999-03-22,43.343042,43.448371,42.553072,42.632069,
1999-03-23,42.395067,42.553061,41.052118,41.131115,
1999-03-24,41.499776,42.55307,40.867799,42.526737,
1999-03-25,43.185049,44.080349,42.901976,44.080349,
1999-03-26,43.711691,44.212005,43.422035,43.606361,
1999-03-29,44.133008,45.212635,43.869685,45.186302,
1999-03-30,45.133647,45.5023,44.685997,44.870323,
1999-03-31,45.607616,45.660281,44.08034,44.212002,
1999-04-01,45.502278,45.554942,44.39632,45.133625,
1999-04-05,45.864375,46.832089,45.581302,46.766258,
1999-04-06,46.713597,47.371906,46.318612,46.858425,
1999-04-07,47.292894,47.398223,45.370632,46.371262,
1999-04-08,46.292272,46.963747,45.344307,46.739922,
1999-04-09,46.660919,47.134901,46.529257,47.029572,
1999-04-12,45.923588,47.029546,45.870924,46.713558,
1999-04-13,47.00324,47.108569,45.712955,46.081608,
1999-04-14,46.660908,46.713572,44.244915,44.501656,
1999-04-15,44.659673,45.179737,43.079731,45.107323,
1999-04-16,45.001983,45.001983,43.553704,43.790695,
1999-04-19,44.08035,44.449002,41.295704,41.736771,
1999-04-20,41.552447,43.027059,41.157462,42.684738,
1999-04-21,43.079726,44.817661,42.500414,44.791328,
1999-04-22,45.21265,46.134282,44.916411,46.002621,
1999-04-23,45.765633,46.950589,45.291651,46.608269,
1999-04-26,46.924235,48.030193,46.772824,47.68129,
1999-04-27,48.030195,48.267186,46.351508,46.950569,
1999-04-28,46.555603,46.713597,45.140239,45.344315,
1999-04-29,45.133649,45.396972,44.02769,44.975655,
1999-04-30,45.607637,45.844628,43.659042,45.265316,
1999-05-03,45.133638,45.317965,44.271254,45.028309,
1999-05-04,45.107296,45.818269,44.054002,44.317326,
1999-05-05,44.34368,45.660297,43.00073,45.660297,
1999-05-06,45.238967,45.633952,43.580029,44.001347,
1999-05-07,44.396325,44.764978,43.448361,44.633316,
1999-05-10,44.923,45.383816,44.396352,45.080994,
1999-05-11,45.449649,46.028961,45.186325,45.791969,
1999-05-12,46.002616,46.897916,44.659666,46.739922,
1999-05-13,47.108573,47.18757,45.660294,45.870953,
1999-05-14,44.97564,45.502287,44.659652,45.001972,
1999-05-17,44.607005,45.949955,44.165938,45.81171,
1999-05-18,45.765607,46.02893,45.080966,45.607613,
1999-05-19,45.791955,46.265937,45.080982,46.239605,
1999-05-20,46.338368,46.338368,44.896672,44.969086,
1999-05-21,45.107297,45.238958,44.317326,44.554317,
1999-05-24,44.633343,44.71234,43.132398,43.422054,
1999-05-25,43.369381,44.001358,41.815773,42.000099,
1999-05-26,42.553072,43.343043,41.236455,43.171883,
1999-05-27,43.000727,43.757782,42.447748,43.132389,
1999-05-28,43.395719,44.08036,42.842739,43.843369,
1999-06-01,43.764353,43.975011,42.632062,42.869053,
1999-06-02,42.842733,43.817029,41.769689,43.593204,
1999-06-03,43.922353,43.922353,42.711065,42.974388,
1999-06-04,43.290383,44.442423,43.290383,44.291012,
1999-06-07,44.600423,45.495723,44.501677,45.21265,
1999-06-08,45.317969,45.528628,43.849941,44.080349,
1999-06-09,44.238335,44.942725,44.212002,44.817646,
1999-06-10,44.343667,44.606991,43.770939,44.304169,
1999-06-11,44.60701,44.653092,43.237728,43.632713,
1999-06-14,43.790714,43.790714,42.711087,42.809834,
1999-06-15,42.915142,43.705112,42.790063,43.448372,
1999-06-16,44.527998,45.680038,44.475334,45.680038,
1999-06-17,45.080973,46.39759,45.080973,46.186932,
1999-06-18,45.765629,46.529268,45.686632,46.397606,
1999-06-21,46.713578,47.812953,46.634581,47.786621,
1999-06-22,47.503552,48.109196,46.344929,46.344929,
