entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-08-19,2000-04-13,43.0233,114.5369,232432,16622043,1.6622,0.03,3,238
2000-08-23,2000-09-18,80.6955,70.6985,329907,-3298077,-0.1239,0.03,3,26
2001-11-19,2002-02-06,1.5054,1.074,15493082,-6683664,-0.2866,0.03,3,79
2002-11-05,2003-02-05,0.2299,0.1759,72385777,-3907809,-0.2348,0.03,3,92
2003-03-21,2003-04-01,0.2394,0.1922,53188571,-2508077,-0.197,0.03,3,11
2003-04-24,2004-03-09,0.2375,0.4556,43056471,9391000,0.9185,0.03,3,320
2004-11-02,2005-01-25,0.4629,0.4489,42375562,-592002,-0.0302,0.03,3,84
2005-06-02,2005-10-11,0.4874,0.4602,39028481,-1063821,-0.0559,0.03,3,131
2005-11-09,2006-03-10,0.5265,0.5115,34110783,-510775,-0.0284,0.03,3,121
2006-09-19,2007-03-05,0.4516,0.472,38638909,789662,0.0453,0.03,3,167
2007-04-26,2007-08-16,0.6176,0.5435,29533267,-2187249,-0.1199,0.03,3,112
2007-09-07,2007-11-13,0.651,0.6488,24658085,-53390,-0.0033,0.03,3,67
2008-05-07,2008-07-01,0.5558,0.4108,28784516,-4173881,-0.2609,0.03,3,55
2009-03-27,2010-02-01,0.0826,0.1961,143101923,16241885,1.3736,0.03,3,311
2010-03-05,2010-05-10,0.2425,0.2571,115754434,1690626,0.0602,0.03,3,66
2010-09-17,2011-03-17,0.258,0.3694,115350990,12857805,0.4321,0.03,3,181
2011-04-04,2011-06-06,0.4286,0.392,99429714,-3635005,-0.0853,0.03,3,63
2011-07-25,2011-08-03,0.454,0.3889,85864454,-5586002,-0.1433,0.03,3,9
2011-10-19,2011-11-22,0.3867,0.3107,86363273,-6563721,-0.1966,0.03,3,34
2012-01-09,2012-05-18,0.3784,0.4486,70905276,4976520,0.1855,0.03,3,130
2012-08-13,2012-10-25,0.559,0.5229,56902953,-2051310,-0.0645,0.03,3,73
2013-03-11,2014-04-08,0.5981,1.1326,49745635,26588537,0.8936,0.03,3,393
2014-06-02,2014-10-13,1.368,1.4809,41187502,4653247,0.0826,0.03,3,133
