Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2010-01-21,10000000,10000000,False,False,,2.198649,0,0.0,hold,,,0.0,,,0,0.0,0.894972,0,0.0,hold,,,0.0,,,0,0.0,11.135,0,0.0,hold,,,0.0,,,0,0.0,14.576311,0,0.0,hold,,,0.0,,,0,0.0
2010-01-22,10000000,10000000,False,False,,2.102856,0,0.0,hold,,,0.0,,,0,0.0,0.843485,0,0.0,hold,,,0.0,,,0,0.0,11.1,0,0.0,hold,,,0.0,,,0,0.0,14.505756,0,0.0,hold,,,0.0,,,0,0.0
2010-01-25,10000000,10000000,False,False,,2.120637,0,0.0,hold,,,0.0,,,0,0.0,0.848374,0,0.0,hold,,,0.0,,,0,0.0,11.1625,0,0.0,hold,,,0.0,,,0,0.0,14.352558,0,0.0,hold,,,0.0,,,0,0.0
2010-01-26,10000000,10000000,False,False,,2.103429,0,0.0,hold,,,0.0,,,0,0.0,0.850208,0,0.0,hold,,,0.0,,,0,0.0,11.1625,0,0.0,hold,,,0.0,,,0,0.0,14.296117,0,0.0,hold,,,0.0,,,0,0.0
2010-01-27,10000000,10000000,False,False,,2.123506,0,0.0,hold,,,0.0,,,0,0.0,0.862888,0,0.0,hold,,,0.0,,,0,0.0,10.96,0,0.0,hold,,,0.0,,,0,0.0,14.378767,0,0.0,hold,,,0.0,,,0,0.0
2010-01-28,10000000,10000000,False,False,,2.074749,0,0.0,hold,,,0.0,,,0,0.0,0.819806,0,0.0,hold,,,0.0,,,0,0.0,10.945,0,0.0,hold,,,0.0,,,0,0.0,14.324336,0,0.0,hold,,,0.0,,,0,0.0
2010-01-29,10000000,10000000,False,False,,2.02886,0,0.0,hold,,,0.0,,,0,0.0,0.790472,0,0.0,hold,,,0.0,,,0,0.0,10.8425,0,0.0,hold,,,0.0,,,0,0.0,14.580345,0,0.0,hold,,,0.0,,,0,0.0
2010-02-01,10000000,10000000,True,False,,2.090811,0,0.0,hold,,,0.0,,,0,0.0,0.806972,0,0.0,hold,,,0.0,,,0,0.0,11.33,0,0.0,hold,,,0.0,,,0,0.0,14.344497,0,0.0,hold,,,0.0,,,0,0.0
2010-02-02,10000000,10000000,False,False,,2.142434,0,0.0,hold,,,0.0,,,0,0.0,0.821791,0,0.0,hold,,,0.0,,,0,0.0,11.495,0,0.0,hold,,,0.0,,,0,0.0,14.390857,0,0.0,hold,,,0.0,,,0,0.0
2010-02-03,10000000,10000000,False,False,,2.121785,0,0.0,hold,,,0.0,,,0,0.0,0.831263,0,0.0,hold,,,0.0,,,0,0.0,11.39,0,0.0,hold,,,0.0,,,0,0.0,14.058249,0,0.0,hold,,,0.0,,,0,0.0
2010-02-04,10000000,10000000,False,False,,1.99215,0,0.0,hold,,,0.0,,,0,0.0,0.784055,0,0.0,hold,,,0.0,,,0,0.0,10.4925,0,0.0,hold,,,0.0,,,0,0.0,14.501731,0,0.0,hold,,,0.0,,,0,0.0
2010-02-05,10000000,10000000,False,False,,2.002474,0,0.0,hold,,,0.0,,,0,0.0,0.795208,0,0.0,hold,,,0.0,,,0,0.0,10.535,0,0.0,hold,,,0.0,,,0,0.0,14.556157,0,0.0,hold,,,0.0,,,0,0.0
