entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,buy_buffer_pct,hold_days_used,holding_days
1999-08-23,2000-04-13,49.442028,77.972438,202257,5770475,0.577,0.03,5,234
2000-08-25,2000-09-18,83.235369,77.132363,189468,-1156324,-0.0733,0.03,5,24
2001-11-21,2002-02-06,32.513422,30.949548,449480,-702930,-0.0481,0.03,5,77
2002-11-07,2003-02-05,21.965787,20.439808,633313,-966422,-0.0695,0.03,5,90
2003-04-28,2004-03-09,22.861658,30.096006,566223,4096254,0.3164,0.03,5,316
2004-11-04,2005-01-25,31.503076,31.198785,540932,-164600,-0.0097,0.03,5,82
2005-06-06,2005-10-11,32.53889,32.476051,518654,-32592,-0.0019,0.03,5,127
2005-11-11,2006-03-10,34.833105,34.461347,483558,-179766,-0.0107,0.03,5,119
2006-09-21,2007-03-05,34.779286,35.996886,479138,583399,0.035,0.03,5,165
2007-04-30,2007-08-16,39.967425,38.938386,431538,-444069,-0.0257,0.03,5,108
2007-09-26,2007-11-13,44.211639,42.261512,380067,-741179,-0.0441,0.03,5,48
2008-05-09,2008-07-01,41.429189,38.4393,387703,-1159189,-0.0722,0.03,5,53
2009-04-08,2010-02-01,27.486325,37.083093,542198,5203348,0.3491,0.03,5,299
2010-03-09,2010-05-10,40.375998,41.042628,497979,331968,0.0165,0.03,5,62
2010-09-21,2011-03-17,42.798914,47.992698,477544,2480260,0.1214,0.03,5,177
2011-04-29,2011-06-06,51.874143,49.117568,441812,-1217888,-0.0531,0.03,5,38
2011-07-27,2011-08-03,52.184267,49.332781,415848,-1185784,-0.0546,0.03,5,7
2011-10-31,2011-11-22,51.566211,47.546954,397837,-1599009,-0.0779,0.03,5,22
2012-01-11,2012-05-18,51.409169,54.513913,367948,1142384,0.0604,0.03,5,128
2012-08-15,2012-10-25,59.59317,58.173171,336587,-477953,-0.0238,0.03,5,71
2013-03-13,2014-04-08,61.71946,77.756861,317248,5087833,0.2598,0.03,5,391
2014-06-04,2014-10-13,83.0653,86.016577,296973,876450,0.0355,0.03,5,131
2014-11-05,2015-07-09,93.657419,98.907137,272745,1431834,0.0561,0.03,5,246
2015-07-24,2015-08-21,104.408057,97.131405,258375,-1880105,-0.0697,0.03,5,28
2015-11-02,2016-01-08,105.43216,97.720602,238033,-1835605,-0.0731,0.03,5,67
2016-04-21,2016-06-27,103.220885,96.38293,225349,-1540926,-0.0662,0.03,5,67
2016-07-18,2018-03-26,104.70316,152.903698,207442,9998816,0.4604,0.03,5,616
2018-06-07,2018-10-11,167.301994,162.334399,189589,-941801,-0.0297,0.03,5,126
2019-02-26,2019-06-03,165.770461,165.441102,185659,-61148,-0.002,0.03,5,97
2019-06-26,2019-08-06,178.996843,174.332374,171599,-800418,-0.0261,0.03,5,41
2019-11-01,2020-02-28,190.697709,190.64938,156872,-7581,-0.0003,0.03,5,119
2020-05-13,2021-03-09,215.447329,296.781623,138816,11290501,0.3775,0.03,5,300
2021-04-12,2021-05-13,326.722641,309.188836,126095,-2210925,-0.0537,0.03,5,31
2021-06-15,2021-10-05,334.607716,342.621433,116516,933726,0.0239,0.03,5,112
2021-10-26,2022-01-14,370.526521,363.775841,107741,-727325,-0.0182,0.03,5,80
2022-08-18,2022-08-30,321.479984,297.821107,121916,-2884396,-0.0736,0.03,5,12
2023-01-31,2023-09-27,285.350196,348.737494,127244,8065653,0.2221,0.03,5,239
2023-11-22,2024-04-22,385.576272,411.086584,115087,2935905,0.0662,0.03,5,152
2024-05-17,2024-08-05,448.047855,419.041227,105593,-3062897,-0.0647,0.03,5,80
2024-08-23,2024-09-09,475.689018,447.01287,93018,-2667398,-0.0603,0.03,5,17
2024-09-27,2025-02-28,487.549753,494.944867,85284,630685,0.0152,0.03,5,154
2025-05-21,2026-02-05,514.758728,596.99971,82002,6743925,0.1598,0.03,5,260
2026-04-22,2026-07-30,651.384662,672.73573,75155,1604640,0.0328,0.03,5,99
