Date,equity,position,upper_band,lower_band,buy_buffer_pct,sell_buffer_pct,drawdown_pct
1999-03-10,10000000,0,44.422514,40.972221,0.03,0.05,0.0
1999-03-11,10000000,0,44.425395,40.974878,0.03,0.05,0.0
1999-03-12,10000000,0,44.413834,40.964216,0.03,0.05,0.0
1999-03-15,10000000,0,44.41899,40.968971,0.03,0.05,0.0
1999-03-16,10000000,0,44.429119,40.978314,0.03,0.05,0.0
1999-03-17,10000000,0,44.434793,40.983547,0.03,0.05,0.0
1999-03-18,10000000,0,44.451914,40.999338,0.03,0.05,0.0
1999-03-19,10000000,0,44.453325,41.00064,0.03,0.05,0.0
1999-03-22,10000000,0,44.447516,40.995282,0.03,0.05,0.0
1999-03-23,10000000,0,44.421259,40.971064,0.03,0.05,0.0
1999-03-24,10000000,0,44.414434,40.964769,0.03,0.05,0.0
1999-03-25,10000000,0,44.428944,40.978152,0.03,0.05,0.0
1999-03-26,10000000,0,44.436781,40.985381,0.03,0.05,0.0
1999-03-29,10000000,0,44.466119,41.01244,0.03,0.05,0.0
1999-03-30,10000000,0,44.490747,41.035155,0.03,0.05,0.0
1999-03-31,10000000,0,44.506047,41.049267,0.03,0.05,0.0
1999-04-01,10000000,0,44.533747,41.074815,0.03,0.05,0.0
1999-04-05,10000000,0,44.583406,41.120617,0.03,0.05,0.0
1999-04-06,10000000,0,44.633667,41.166974,0.03,0.05,0.0
1999-04-07,10000000,0,44.676601,41.206574,0.03,0.05,0.0
1999-04-08,10000000,0,44.724007,41.250298,0.03,0.05,0.0
1999-04-09,10000000,0,44.774747,41.297096,0.03,0.05,0.0
1999-04-12,10505101,228471,44.820493,41.33929,0.03,0.05,0.0
1999-04-13,10073322,228471,44.856992,41.372954,0.03,0.05,-4.11
1999-04-14,9032008,228471,44.871402,41.386244,0.03,0.05,-14.02
1999-04-15,9396105,228471,44.893903,41.406998,0.03,0.05,-10.56
1999-04-16,8568481,228471,44.898102,41.410871,0.03,0.05,-18.44
1999-04-19,7358384,228471,44.874158,41.388787,0.03,0.05,-29.95
1999-04-20,7855986,228471,44.863495,41.378952,0.03,0.05,-25.22
1999-04-21,9015050,228471,44.88178,41.395816,0.03,0.05,-14.18
1999-04-22,9741785,228471,44.916386,41.427735,0.03,0.05,-7.27
1999-04-23,10121520,228471,44.958816,41.466869,0.03,0.05,-3.65
1999-04-26,10815372,228471,45.015357,41.519019,0.03,0.05,0.0
1999-04-27,10312550,228471,45.061158,41.561262,0.03,0.05,-4.65
1999-04-28,9248792,228471,45.084386,41.582686,0.03,0.05,-14.48
1999-04-29,9018445,228471,45.102266,41.599177,0.03,0.05,-16.61
1999-04-30,9188031,228471,45.12387,41.619103,0.03,0.05,-15.05
1999-05-03,9038973,228471,45.141947,41.635776,0.03,0.05,-16.42
1999-05-04,8606155,228471,45.150062,41.643261,0.03,0.05,-20.43
1999-05-05,9384079,228471,45.176434,41.667585,0.03,0.05,-13.23
1999-05-06,8356415,228471,45.179772,41.670663,0.03,0.05,-22.74
1999-05-07,8712167,228471,45.191707,41.681671,0.03,0.05,-19.45
1999-05-10,8969803,228471,45.209606,41.69818,0.03,0.05,-17.06
1999-05-11,9389548,228471,45.236989,41.723437,0.03,0.05,-13.18
1999-05-12,9967844,228471,45.276973,41.760315,0.03,0.05,-7.84
1999-05-13,9406751,228471,45.304545,41.785745,0.03,0.05,-13.02
1999-05-14,8867299,228471,45.319869,41.799879,0.03,0.05,-18.01
1999-05-17,9341376,228471,45.346062,41.824038,0.03,0.05,-13.63
1999-05-18,9211716,228471,45.369118,41.845303,0.03,0.05,-14.83
1999-05-19,9589888,228471,45.400511,41.874257,0.03,0.05,-11.33
1999-05-20,8794428,228471,45.414113,41.886803,0.03,0.05,-18.69
1999-05-21,8546568,228471,45.421864,41.893952,0.03,0.05,-20.98
1999-05-24,7890560,228471,45.414029,41.886726,0.03,0.05,-27.04
1999-05-25,7111307,228471,45.386853,41.86166,0.03,0.05,-34.25
1999-05-26,7702851,228471,45.376061,41.851707,0.03,0.05,-28.78
1999-05-27,7677735,228471,45.364871,41.841386,0.03,0.05,-29.01
1999-05-28,8053445,228471,45.363553,41.84017,0.03,0.05,-25.54
1999-06-01,7512367,228471,45.348928,41.826681,0.03,0.05,-30.54
1999-06-02,7889166,228471,45.344399,41.822504,0.03,0.05,-27.06
1999-06-03,7549121,228471,45.331469,41.810578,0.03,0.05,-30.2
1999-06-04,8239050,228471,45.336714,41.815416,0.03,0.05,-23.82
1999-06-07,8749109,228471,45.354492,41.831813,0.03,0.05,-19.1
1999-06-08,8087253,228471,45.356552,41.833713,0.03,0.05,-25.22
1999-06-09,8488867,228471,45.368666,41.844886,0.03,0.05,-21.51
1999-06-10,8192682,228471,45.373598,41.849435,0.03,0.05,-24.25
